S.No,Symbol
270,ANANTRAJ.NS
271,ITI.NS
272,TITAGARH.NS
273,MRF.NS
274,BLUESTARCO.NS
275,PTCIL.NS
276,COLPAL.NS
277,GODREJPROP.NS
278,FIVESTAR.NS
279,PATANJALI.NS
280,DABUR.NS
281,JPPOWER.NS
282,HAVELLS.NS
283,MOTILALOFS.NS
284,JAINREC.NS
285,DELHIVERY.NS
286,CONCOR.NS
287,BIOCON.NS
288,SONATSOFTW.NS
289,AEGISLOG.NS
290,EMMVEE.NS
291,EIDPARRY.NS
292,PCBL.NS
293,GODFRYPHLP.NS
294,PPLPHARMA.NS
295,PIIND.NS
296,ASTRAL.NS
297,FLUOROCHEM.NS
298,JSL.NS
300,NUVAMA.NS
301,KIRLOSENG.NS
302,ASTERDM.NS
303,SUPREMEIND.NS
304,FINCABLES.NS
305,NIVABUPA.NS
306,SBILIFE.NS
307,GLAND.NS
308,PETRONET.NS
309,TRITURBINE.NS
310,KIMS.NS
311,UNOMINDA.NS
312,MFSL.NS
313,BAJAJHLDNG.NS
314,LICHSGFIN.NS
315,TIMKEN.NS
316,GLAXO.NS
317,HYUNDAI.NS
318,CENTRALBK.NS
319,UBL.NS
320,SAILIFE.NS
321,DOMS.NS
322,EXIDEIND.NS
323,TORNTPOWER.NS
324,KARURVYSYA.NS
325,DEEPAKFERT.NS
326,JSWCEMENT.NS
327,NEWGEN.NS
328,HUDCO.NS
329,KPIL.NS
330,NTPCGREEN.NS
331,ABSLAMC.NS
332,NCC.NS
333,SCHNEIDER.NS
334,M&MFIN.NS
335,SUNDARMFIN.NS
336,IREDA.NS
337,LEMONTREE.NS
338,J&KBANK.NS
339,NH.NS
340,SBICARD.NS
341,ABREL.NS
342,MMTC.NS
343,ESCORTS.NS
344,EMAMILTD.NS
345,GMDCLTD.NS
346,ZENSARTECH.NS
347,ELGIEQUIP.NS
348,DEVYANI.NS
349,MSUMI.NS
350,INTELLECT.NS
351,NEULANDLAB.NS
352,CEMPRO.NS
353,HEXT.NS
354,ALKEM.NS
355,VIJAYA.NS
356,CROMPTON.NS
357,JKTYRE.NS
358,IGL.NS
359,IPCALAB.NS
360,CHALET.NS
361,BLS.NS
362,ACMESOLAR.NS
363,LLOYDSME.NS
364,DEEPAKNTR.NS
365,LATENTVIEW.NS
366,SAREGAMA.NS
367,SHYAMMETL.NS
368,VTL.NS
369,BHARTIHEXA.NS
370,FSL.NS
371,IRCTC.NS
372,DALBHARAT.NS
373,IKS.NS
374,CONCORDBIO.NS
375,LALPATHLAB.NS
376,JMFINANCIL.NS
377,ACE.NS
378,ZFCVINDIA.NS
379,SBFC.NS
380,LINDEINDIA.NS
381,AFFLE.NS
382,PNBHOUSING.NS
383,SHREECEM.NS
384,BALRAMCHIN.NS
385,GRAVITA.NS
386,THERMAX.NS
387,ONESOURCE.NS
388,HONASA.NS
389,ECLERX.NS
390,BSOFT.NS
391,TATAINVEST.NS
392,SPLPETRO.NS
393,AIIL.NS
394,SYNGENE.NS
395,CHAMBLFERT.NS
396,TATACHEM.NS
397,CEATLTD.NS
398,AARTIIND.NS
399,IEX.NS
400,GODREJIND.NS
401,RAINBOW.NS
402,COHANCE.NS
403,LTTS.NS
404,CYIENT.NS
405,GPIL.NS
406,APOLLOTYRE.NS
407,INDIAMART.NS
408,ELECON.NS
409,MGL.NS
410,BALKRISIND.NS
411,NAVA.NS
412,CHOLAHLDNG.NS
413,BRIGADE.NS
414,OBEROIRLTY.NS
415,ARE&M.NS
416,UCOBANK.NS
417,GRAPHITE.NS
418,TECHNOE.NS
419,IRCON.NS
420,TBOTEK.NS
421,NSLNISP.NS
422,SAPPHIRE.NS
423,JWL.NS
424,CRISIL.NS
425,PVRINOX.NS
426,CUB.NS
427,IRB.NS
428,JUBLINGREA.NS
429,HONAUT.NS
430,TRIDENT.NS
431,URBANCO.NS
432,APTUS.NS
433,ACC.NS
434,AAVAS.NS
435,KAJARIACER.NS
436,JKCEMENT.NS
437,MINDACORP.NS
438,CASTROLIND.NS
439,ANURAS.NS
440,ENDURANCE.NS
441,MEDANTA.NS
442,RAILTEL.NS
443,HOMEFIRST.NS
444,SIGNATURE.NS
445,ABBOTINDIA.NS
446,SJVN.NS
447,GODIGIT.NS
448,FIRSTCRY.NS
449,ABFRL.NS
450,HEG.NS
451,CCL.NS
452,LTFOODS.NS
453,UTIAMC.NS
454,BAYERCROP.NS
455,TEGA.NS
456,AFCONS.NS
457,IOB.NS
458,POLYMED.NS
459,BLUEJET.NS
460,CREDITACC.NS
461,CESC.NS
462,MAPMYINDIA.NS
463,AJANTPHARM.NS
464,ATUL.NS
465,EMCURE.NS
466,AEGISVOPAK.NS
467,GILLETTE.NS
468,SUNTV.NS
469,ERIS.NS
470,TTML.NS
471,SARDAEN.NS
472,SWANCORP.NS
473,ABLBL.NS
474,ABDL.NS
475,INDGN.NS
476,RKFORGE.NS
477,BLUEDART.NS
478,CIEINDIA.NS
479,WHIRLPOOL.NS
480,GALLANTT.NS
481,JSWDULUX.NS
482,RHIM.NS
483,CANFINHOME.NS
484,ZYDUSWELL.NS
485,PFIZER.NS
486,EIHOTEL.NS
487,3MINDIA.NS
488,BIKAJI.NS
489,ASAHIINDIA.NS
490,CLEAN.NS
491,SOBHA.NS
492,RITES.NS
493,JUBLPHARMA.NS
494,IGIL.NS
495,INDIACEM.NS
496,TRAVELFOOD.NS
497,NUVOCO.NS
498,BBTC.NS
499,RAMCOCEM.NS
500,SUMICHEM.NS
501,DCMSHRIRAM.NS
502,CANHLIFE.NS
